
2024/04/13 (16:26:39) | ===> btop++ v.1.3.2
2024/04/13 (16:26:39) | INFO: Logger set to INFO
2024/04/13 (16:26:40) | INFO: Logger set to DEBUG
2024/04/13 (16:26:41) | INFO: Logger set to INFO
2024/04/13 (16:26:42) | INFO: Logger set to INFO
2024/04/13 (16:26:42) | INFO: Logger set to DEBUG
2024/04/13 (16:26:43) | INFO: Logger set to INFO
2024/04/13 (16:26:45) | INFO: Logger set to INFO
2024/04/13 (16:26:46) | INFO: Logger set to DEBUG

2024/04/14 (01:26:17) | ===> btop++ v.1.3.2
2024/04/14 (01:26:17) | INFO: Logger set to INFO
2024/04/14 (01:26:18) | INFO: Logger set to DEBUG

2024/04/21 (13:37:39) | ===> btop++ v.1.3.2
2024/04/21 (13:37:39) | INFO: Logger set to INFO
2024/04/21 (13:37:39) | INFO: Logger set to DEBUG
2024/04/21 (13:37:42) | INFO: Logger set to INFO
2024/04/21 (13:37:42) | INFO: Logger set to DEBUG
